YAL069W, Dubious ,,
YAL068W-A, Dubious ,,
PAU8,  Verified ,,
YAL067W-A, Uncharacterized ,,
SEO1,  Verified ,,
YAL066W, Dubious ,,
YAL065C,  Uncharacterized ,,
YAL064W-B, Uncharacterized ,,
TDA8,  Uncharacterized ,,
YAL064W, Verified ,,
YAL063C-A,  Uncharacterized ,,
FLO9,  Verified ,,
GDH3, Verified ,,
BDH2, Uncharacterized ,,
BDH1, Verified ,,
YAL059C-A,  Dubious ,,
ECM1, Verified ,,
CNE1, Verified ,,
YAL056C-A,  Dubious ,,
GPB2, Verified ,,
PEX22, Verified ,,
ACS1,  Verified ,,
FLC2, Verified ,,
OAF1, Verified ,,
AIM2,  Verified ,,
GEM1,  Verified ,,
YAL047W-A, Dubious ,,
SPC72,  Verified ,,
BOL3,  Verified ,,
YAL045C,  Dubious ,,
BOL1, Verified ,,
GCV3,  Verified ,,
PTA1,  Verified ,,
YAL042C-A,  Dubious ,,
ERV46, Verified ,,
CDC24, Verified ,,
CLN3,  Verified ,,
CYC3,  Verified ,,
CDC19, Verified ,,
YAL037C-B,  Dubious ,,
YAL037C-A,  Uncharacterized ,,
YAL037W, Uncharacterized ,,
RBG1,  Verified ,,
FUN12, Verified ,,
YAL034C-B,  Dubious ,,
MTW1, Verified ,,
FUN19,  Verified ,,
POP5, Verified ,,
PRP45,  Verified ,,
YAL031W-A, Dubious ,,
GIP4,  Verified ,,
SNC1, Verified ,,
MYO4,  Verified ,,
FRT2, Verified ,,
SAW1, Verified ,,
YAL026C-A,  Dubious ,,
DRS2,  Verified ,,
MAK16,  Verified ,,
LTE1,  Verified ,,
PMT2,  Verified ,,
FUN26,  Verified ,,
CCR4,  Verified ,,
ATS1,  Verified ,,
YAL019W-A, Dubious ,,
FUN30, Verified ,,
LDS1,  Verified ,,
PSK1, Verified ,,
YAL016C-B,  Dubious ,,
YAL016C-A,  Dubious ,,
TPD3, Verified ,,
NTG1,  Verified ,,
SYN8,  Verified ,,
DEP1, Verified ,,
CYS3, Verified ,,
SWC3, Verified ,,
MDM10,  Verified ,,
SPO7, Verified ,,
FUN14, Verified ,,
ERP2,  Verified ,,
SSA1,  Verified ,,
YAL004W, Dubious ,,
EFB1, Verified ,,
VPS8, Verified ,,
TFC3,  Verified ,,
NUP60, Verified ,,
ERP1,  Verified ,,
SWD1, Verified ,,
RFA1,  Verified ,,
SEN34, Verified ,,
YAR009C,  transposable_element_gene,,
YAR010C,  transposable_element_gene,,
BUD14,  Verified ,,
ADE1, Verified ,,
KIN3,  Verified ,,
CDC15,  Verified ,,
YAR019W-A, Dubious ,,
PAU7,  Verified ,,
DFP1,  Uncharacterized ,,
UIP3, Verified ,,
KTD1, Uncharacterized ,,
DFP2, Uncharacterized ,,
YAR030C,  Dubious ,,
PRM9, Verified ,,
MST28, Verified ,,
YAT1, Verified ,,
YAR035C-A,  Uncharacterized ,,
SWH1, Verified ,,
YAR047C,  Dubious ,,
FLO1, Verified ,,
YAR053W, Dubious ,,
YAR060C,  Dubious ,,
YAR061W, pseudogene,,
YAR064W, Uncharacterized ,,
YAR066W, Uncharacterized ,,
YAR068W, Uncharacterized ,,
YAR069C,  Dubious ,,
YAR070C,  Dubious ,,
PHO11, Verified ,,
IMD1, Dubious ,,
YAR075W, Dubious ,,
YBL113C,  Uncharacterized ,,
YBL113W-A, Dubious ,,
YBL112C,  Uncharacterized ,,
YBL111C,  Verified ,,
YBL109W, Dubious ,,
PAU9,  Verified ,,
YBL108W, Dubious ,,
YBL107W-A, Dubious ,,
MIX23,  Verified ,,
SRO77,  Verified ,,
PKC1,  Verified ,,
SEA4,  Verified ,,
RTG3,  Verified ,,
SFT2, Verified ,,
ECM21,  Verified ,,
YBL100W-C, Uncharacterized ,,
YBL100W-A, transposable_element_gene,,
YBL100W-B, transposable_element_gene,,
YBL100C,  Dubious ,,
ATP1, Verified ,,
BNA4, Verified ,,
BRN1, Verified ,,
YBL096C,  Dubious ,,
MRX3, Uncharacterized ,,
YBL094C,  Dubious ,,
ROX3,  Verified ,,
RPL32, Verified ,,
SCS22,  Verified ,,
MAP2,  Verified ,,
MRP21, Verified ,,
AVT5, Verified ,,
TEL1,  Verified ,,
RPL23A,  Verified ,,
YBL086C,  Uncharacterized ,,
BOI1, Verified ,,
CDC27,  Verified ,,
YBL083C,  Dubious ,,
ALG3,  Verified ,,
YBL081W, Uncharacterized ,,
PET112,  Verified ,,
NUP170, Verified ,,
ATG8,  Verified ,,
YBL077W, Dubious ,,
ILS1,  Verified ,,
SSA3,  Verified ,,
AAR2,  Verified ,,
YBL073W, Dubious ,,
RPS8A,  Verified ,,
YBL071C-B,  Uncharacterized ,,
KTI11, Verified ,,
YBL071C,  Uncharacterized ,,
YBL070C,  Dubious ,,
AST1, Verified ,,
YBL068W-A, Dubious ,,
PRS4, Verified ,,
UBP13,  Verified ,,
SEF1,  Verified ,,
YBL065W, Dubious ,,
PRX1,  Verified ,,
KIP1, Verified ,,
YBL062W, Dubious ,,
SKT5,  Verified ,,
YEL1, Verified ,,
CMC2,  Verified ,,
IAI11, Uncharacterized ,,
SHP1, Verified ,,
PTH2,  Verified ,,
PTC3, Verified ,,
YBL055C,  Verified ,,
TOD6, Verified ,,
YBL053W, Dubious ,,
SAS3,  Verified ,,
PIN4,  Verified ,,
SEC17, Verified ,,
MOH1, Verified ,,
RRT1, Uncharacterized ,,
EDE1,  Verified ,,
PSY4, Verified ,,
COR1,  Verified ,,
YBL044W, Uncharacterized ,,
ECM13, Verified ,,
FUI1,  Verified ,,
PRE7, Verified ,,
ERD2,  Verified ,,
MIN6, Uncharacterized ,,
URA7,  Verified ,,
YBL039C-A,  Dubious ,,
MRPL16, Verified ,,
APL3, Verified ,,
YBL036C,  Verified ,,
POL12,  Verified ,,
STU1,  Verified ,,
RIB1,  Verified ,,
HEK2, Verified ,,
SHE1, Verified ,,
PET9,  Verified ,,
YBL029C-A,  Verified ,,
YBL029W, Uncharacterized ,,
YBL028C,  Verified ,,
RPL19B, Verified ,,
LSM2, Verified ,,
RRN10, Verified ,,
NCL1, Verified ,,
MCM2,  Verified ,,
PIM1,  Verified ,,
HAP3,  Verified ,,
RFT1, Verified ,,
APN2, Verified ,,
POP8,  Verified ,,
PEP1,  Verified ,,
FUS3, Verified ,,
ACH1, Verified ,,
RRN6,  Verified ,,
FMT1, Verified ,,
YBL012C,  Dubious ,,
SCT1, Verified ,,
LAA2,  Verified ,,
ALK2, Verified ,,
YBL008W-A, Uncharacterized ,,
HIR1, Verified ,,
SLA1,  Verified ,,
LDB7,  Verified ,,
YBL006W-A, Dubious ,,
PDR3, Verified ,,
YBL005W-A, transposable_element_gene,,
YBL005W-B, transposable_element_gene,,
UTP20, Verified ,,
HTA2,  Verified ,,
HTB2, Verified ,,
ECM15,  Verified ,,
NTH2,  Verified ,,
RER2,  Verified ,,
COQ1, Verified ,,
GPI18,  Verified ,,
RCR1, Verified ,,
UGA2, Verified ,,
DSF2,  Verified ,,
FLR1,  Verified ,,
HHF1,  Verified ,,
HHT1, Verified ,,
IPP1,  Verified ,,
YBR012C,  Dubious ,,
YBR012W-A, transposable_element_gene,,
YBR012W-B, transposable_element_gene,,
YBR013C,  Uncharacterized ,,
GRX7,  Verified ,,
MNN2,  Verified ,,
CPP1, Verified ,,
KAP104,  Verified ,,
GAL7,  Verified ,,
GAL10,  Verified ,,
GAL1, Verified ,,
FUR4, Verified ,,
POA1, Verified ,,
CHS3,  Verified ,,
SCO2, Verified ,,
OLA1,  Verified ,,
ETR1,  Verified ,,
YBR027C,  Uncharacterized ,,
YPK3,  Verified ,,
CDS1,  Verified ,,
RKM3, Verified ,,
RPL4A, Verified ,,
YBR032W, Uncharacterized ,,
EDS1, Uncharacterized ,,
HMT1,  Verified ,,
PDX3,  Verified ,,
CSG2,  Verified ,,
SCO1,  Verified ,,
CHS2, Verified ,,
ATP3, Verified ,,
FIG1, Verified ,,
FAT1, Verified ,,
CST26,  Verified ,,
QDR3,  Verified ,,
TCM62,  Verified ,,
GIP1,  Verified ,,
ZTA1,  Verified ,,
FMP23, Uncharacterized ,,
RPS11B, Verified ,,
REB1,  Verified ,,
REG2,  Verified ,,
YBR051W, Dubious ,,
RFS1,  Verified ,,
YBR053C,  Uncharacterized ,,
YRO2, Verified ,,
PRP6,  Verified ,,
MRX18, Verified ,,
MNC1, Uncharacterized ,,
YBR056C-B,  Dubious ,,
MUM2,  Verified ,,
UBP14,  Verified ,,
TSC3,  Verified ,,
AKL1,  Verified ,,
ORC2,  Verified ,,
TRM7,  Verified ,,
YBR062C,  Uncharacterized ,,
CNM1,  Verified ,,
YBR064W, Dubious ,,
ECM2,  Verified ,,
NRG2,  Verified ,,
TIP1,  Verified ,,
BAP2,  Verified ,,
TAT1,  Verified ,,
ALG14,  Verified ,,
YBR071W, Verified ,,
HSP26, Verified ,,
YBR072C-A,  Uncharacterized ,,
RDH54, Verified ,,
PFF1, Verified ,,
ECM8, Verified ,,
YBR076C-A,  Dubious ,,
SLM4,  Verified ,,
ECM33, Verified ,,
RPG1,  Verified ,,
SEC18,  Verified ,,
SPT7,  Verified ,,
UBC4,  Verified ,,
TEC1, Verified ,,
MIS1, Verified ,,
RPL19A,  Verified ,,
AAC3, Verified ,,
YBR085C-A,  Verified ,,
IST2,  Verified ,,
RFC5, Verified ,,
POL30,  Verified ,,
YBR089W, Dubious ,,
NHP6B,  Verified ,,
YBR090C,  Uncharacterized ,,
TIM12,  Verified ,,
PHO3,  Verified ,,
PHO5,  Verified ,,
PBY1, Verified ,,
RXT2,  Verified ,,
YBR096W, Uncharacterized ,,
VPS15, Verified ,,
MMS4, Verified ,,
YBR099C,  Dubious ,,
FES1,  Verified ,,
EXO84,  Verified ,,
SIF2, Verified ,,
YBR103C-A,  Dubious ,,
YMC2, Verified ,,
VID24,  Verified ,,
SND3, Verified ,,
IML3,  Verified ,,
AIM3, Verified ,,
CMD1,  Verified ,,
YBR109W-A, Dubious ,,
ALG1, Verified ,,
YSA1,  Verified ,,
SUS1, Verified ,,
CYC8,  Verified ,,
YBR113W, Dubious ,,
RAD16, Verified ,,
LYS2,  Verified ,,
YBR116C,  Dubious ,,
TKL2,  Verified ,,
TEF2, Verified ,,
MUD1, Verified ,,
CBP6,  Verified ,,
GRS1,  Verified ,,
YBR121C-A,  Dubious ,,
MRPL36,  Verified ,,
TFC1,  Verified ,,
YBR124W, Dubious ,,
PTC4,  Verified ,,
TPS1,  Verified ,,
MEO1, Verified ,,
YBR126W-B, Dubious ,,
VMA2,  Verified ,,
ATG14,  Verified ,,
OPY1,  Verified ,,
SHE3,  Verified ,,
CCZ1, Verified ,,
YBR131C-A,  Dubious ,,
AGP2,  Verified ,,
HSL7,  Verified ,,
YBR134W, Dubious ,,
CKS1, Verified ,,
MEC1, Verified ,,
YBR137W, Verified ,,
YBR138C,  Uncharacterized ,,
ATG42, Verified ,,
IRA1,  Verified ,,
BMT2,  Verified ,,
YBR141W-A, Dubious ,,
MAK5, Verified ,,
SUP45,  Verified ,,
YBR144C,  Uncharacterized ,,
ADH5, Verified ,,
MRPS9, Verified ,,
RTC2, Verified ,,
YSW1, Verified ,,
ARA1, Verified ,,
TBS1,  Verified ,,
APD1, Verified ,,
SPP381, Verified ,,
RIB7, Verified ,,
RPB5,  Verified ,,
CNS1, Verified ,,
SLI15,  Verified ,,
ICS2,  Verified ,,
AMN1, Verified ,,
IFA38, Verified ,,
CDC28, Verified ,,
CSH1, Verified ,,
TOS1,  Verified ,,
YSY6, Verified ,,
EXO5, Verified ,,
ARL1,  Verified ,,
UBS1, Verified ,,
TYR1,  Verified ,,
POP7,  Verified ,,
PEX32, Verified ,,
SSE2,  Verified ,,
NPL4,  Verified ,,
SEC66, Verified ,,
SMY2,  Verified ,,
UMP1,  Verified ,,
YBR174C,  Dubious ,,
SWD3, Verified ,,
ECM31, Verified ,,
EHT1,  Verified ,,
YBR178W, Dubious ,,
FZO1,  Verified ,,
DTR1, Verified ,,
RPS6B,  Verified ,,
SMP1,  Verified ,,
YBR182C-A,  Uncharacterized ,,
YPC1, Verified ,,
YBR184W, Uncharacterized ,,
MBA1,  Verified ,,
PCH2, Verified ,,
GDT1, Verified ,,
NTC20,  Verified ,,
RPS9B, Verified ,,
YBR190W, Dubious ,,
RPL21A, Verified ,,
YBR191W-A, Dubious ,,
RIM2, Verified ,,
MED8,  Verified ,,
AIM4, Verified ,,
MSI1,  Verified ,,
PGI1,  Verified ,,
YBR196C-A,  Uncharacterized ,,
YBR196C-B,  Uncharacterized ,,
YBR197C,  Verified ,,
TAF5,  Verified ,,
KTR4, Verified ,,
BEM1, Verified ,,
YBR200W-A, Uncharacterized ,,
DER1, Verified ,,
MIN7,  Uncharacterized ,,
MCM7, Verified ,,
COS111, Verified ,,
LDH1,  Verified ,,
KTR3, Verified ,,
YBR206W, Dubious ,,
FTH1, Verified ,,
DUR12,  Verified ,,
YBR209W, Uncharacterized ,,
ERV15, Verified ,,
AME1,  Verified ,,
NGR1, Verified ,,
MET8, Verified ,,
SDS24, Verified ,,
HPC2, Verified ,,
YBP1,  Verified ,,
ATG12, Verified ,,
PYC2,  Verified ,,
YBR219C,  Uncharacterized ,,
YBR220C,  Uncharacterized ,,
PDB1,  Verified ,,
YBR221W-A, Uncharacterized ,,
PCS60,  Verified ,,
TDP1,  Verified ,,
YBR223W-A, Dubious ,,
YBR224W, Dubious ,,
YBR225W, Uncharacterized ,,
YBR226C,  Dubious ,,
MCX1,  Verified ,,
SLX1, Verified ,,
ROT2,  Verified ,,
OM14,  Verified ,,
COQ21, Verified ,,
SWC5,  Verified ,,
YBR232C,  Dubious ,,
PBP2, Verified ,,
DAD3, Verified ,,
ARC40,  Verified ,,
VHC1, Verified ,,
ABD1,  Verified ,,
PRP5, Verified ,,
YBR238C,  Verified ,,
ERT1,  Verified ,,
THI2,  Verified ,,
VVS1,  Verified ,,
YBR242W, Verified ,,
ALG7,  Verified ,,
GPX2, Verified ,,
ISW1,  Verified ,,
RRT2, Verified ,,
ENP1,  Verified ,,
HIS7,  Verified ,,
ARO4,  Verified ,,
SPO23, Verified ,,
MRPS5, Verified ,,
DUT1, Verified ,,
SRB6, Verified ,,
TRS20,  Verified ,,
MTC4, Verified ,,
RCF3,  Uncharacterized ,,
RIB5,  Verified ,,
POP4, Verified ,,
SHG1,  Verified ,,
YBR259W, Verified ,,
RGD1,  Verified ,,
TAE1,  Verified ,,
MIC12,  Verified ,,
SHM1, Verified ,,
YPT10,  Verified ,,
TSC10, Verified ,,
REI1, Verified ,,
SLM6,  Verified ,,
MRPL37, Verified ,,
SDH8,  Verified ,,
BIT2,  Verified ,,
EFM2, Verified ,,
HSM3,  Verified ,,
UBX7,  Verified ,,
CHK1, Verified ,,
RIF1,  Verified ,,
PPS1,  Verified ,,
YBR277C,  Dubious ,,
DPB3, Verified ,,
PAF1, Verified ,,
SAF1,  Verified ,,
DUG2,  Verified ,,
MRPL27, Verified ,,
SSH1,  Verified ,,
YBR284W, Uncharacterized ,,
HAB1, Verified ,,
APE3, Verified ,,
YBR287W, Uncharacterized ,,
APM3,  Verified ,,
SNF5, Verified ,,
BSD2, Verified ,,
CTP1,  Verified ,,
YBR292C,  Uncharacterized ,,
VBA2, Verified ,,
SUL1, Verified ,,
PCA1, Verified ,,
PHO89,  Verified ,,
TYC1,  Verified ,,
MAL33, Verified ,,
MAL31,  Verified ,,
YBR298C-A,  Uncharacterized ,,
MAL32, Verified ,,
YBR300C,  Dubious ,,
PAU24, Verified ,,
COS2,  Verified ,,
YCL076W, Dubious ,,
YCL075W, pseudogene,,
YCL074W, pseudogene,,
GEX1,  Verified ,,
VBA3, Verified ,,
YCL068C,  Uncharacterized ,,
HMLALPHA2,  Verified ,,
HMLALPHA1, Verified ,,
YCL065W, Dubious ,,
CHA1,  Verified ,,
VAC17, Verified ,,
MRC1,  Verified ,,
KRR1,  Verified ,,
FYV5,  Verified ,,
ADF1, Verified ,,
MIC10,  Verified ,,
PRD1, Verified ,,
PEX34,  Verified ,,
KAR4, Verified ,,
RDT1, Verified ,,
SPB1, Verified ,,
PBN1,  Verified ,,
LRE1, Verified ,,
APA1,  Verified ,,
YCL049C,  Uncharacterized ,,
YCL048W-A, Uncharacterized ,,
SPS22, Verified ,,
POF1,  Verified ,,
EMC1,  Verified ,,
YCL046W, Dubious ,,
MGR1,  Verified ,,
PDI1,  Verified ,,
YCL041C,  Dubious ,,
YCL042W, Uncharacterized ,,
GLK1, Verified ,,
GID7, Verified ,,
ATG22,  Verified ,,
SRO9,  Verified ,,
GFD2, Verified ,,
GRX1,  Verified ,,
LSB5, Verified ,,
MXR2,  Verified ,,
STE50, Verified ,,
RRP7,  Verified ,,
HIS4,  Verified ,,
BIK1,  Verified ,,
RNQ1, Verified ,,
FUS1, Verified ,,
HBN1,  Verified ,,
FRM2,  Verified ,,
AGP1,  Verified ,,
YCL023C,  Dubious ,,
KCC4, Verified ,,
YCL022C,  Dubious ,,
YCL021W-A, Uncharacterized ,,
YCL020W, transposable_element_gene,,
YCL019W, transposable_element_gene,,
LEU2, Verified ,,
NFS1,  Verified ,,
DCC1,  Verified ,,
BUD3, Verified ,,
YCL012C,  Verified ,,
GBP2,  Verified ,,
SGF29,  Verified ,,
ILV6,  Verified ,,
STP22,  Verified ,,
YCL007C,  Dubious ,,
VMA9, Verified ,,
LDB16, Verified ,,
PGS1, Verified ,,
YCL002C,  Uncharacterized ,,
RER1, Verified ,,
YCL001W-A, Uncharacterized ,,
YCL001W-B, Uncharacterized ,,
YCR001W, Uncharacterized ,,
CDC10,  Verified ,,
MRPL32, Verified ,,
YCP4,  Verified ,,
CIT2,  Verified ,,
YCR006C,  Uncharacterized ,,
DFP3,  Uncharacterized ,,
SAT4, Verified ,,
RVS161,  Verified ,,
ADY2,  Verified ,,
ADP1,  Verified ,,
PGK1, Verified ,,
YCR013C,  Dubious ,,
POL4,  Verified ,,
CTO1,  Verified ,,
RBP95, Verified ,,
CWH43,  Verified ,,
SRD1,  Verified ,,
YCR018C-A,  Dubious ,,
MAK32, Verified ,,
PET18,  Verified ,,
MAK31,  Verified ,,
HTL1, Verified ,,
HSP30,  Verified ,,
YCR022C,  Uncharacterized ,,
YCR023C,  Verified ,,
SLM5,  Verified ,,
YCR024C-B,  Uncharacterized ,,
PMP1,  Verified ,,
YCR025C,  Uncharacterized ,,
NPP1,  Verified ,,
RHB1,  Verified ,,
FEN2,  Verified ,,
RIM1,  Verified ,,
SYP1,  Verified ,,
RPS14A,  Verified ,,
BPH1, Verified ,,
SNT1, Verified ,,
ELO2, Verified ,,
RRP43,  Verified ,,
RBK1, Verified ,,
PHO87,  Verified ,,
BUD5,  Verified ,,
YCR038W-A, Dubious ,,
MATALPHA2,  Verified ,,
MATALPHA1, Verified ,,
YCR041W, Verified ,,
TAF2,  Verified ,,
YCR043C,  Uncharacterized ,,
PER1,  Verified ,,
RRT12,  Verified ,,
YCR045W-A, Dubious ,,
IMG1,  Verified ,,
BUD23,  Verified ,,
YCR047W-A, Dubious ,,
YCR049C,  Dubious ,,
ARE1, Verified ,,
YCR050C,  Uncharacterized ,,
YCR051W, Uncharacterized ,,
RSC6, Verified ,,
THR4, Verified ,,
CTR86,  Verified ,,
PWP2,  Verified ,,
YIH1,  Verified ,,
TAH1, Verified ,,
TVS1, Verified ,,
YCR064C,  Dubious ,,
BUD31, Verified ,,
HCM1, Verified ,,
RAD18, Verified ,,
SED4,  Verified ,,
ATG15, Verified ,,
CPR4, Verified ,,
IMG2,  Verified ,,
RSA4,  Verified ,,
SSK22,  Verified ,,
SOL2, Verified ,,
ERS1,  Verified ,,
EGO2, Verified ,,
FUB1,  Verified ,,
PAT1,  Verified ,,
PTC6, Verified ,,
SRB8, Verified ,,
YCR081C-A,  Dubious ,,
AHC2, Verified ,,
TRX3, Verified ,,
TUP1,  Verified ,,
YCR085W, Uncharacterized ,,
CSM1, Verified ,,
YCR087W, Dubious ,,
YCR087C-A,  Verified ,,
ABP1, Verified ,,
FIG2, Verified ,,
YCR090C,  Uncharacterized ,,
KIN82, Verified ,,
MSH3,  Verified ,,
CDC39, Verified ,,
CDC50, Verified ,,
OCA4,  Uncharacterized ,,
YCR095W-A, Uncharacterized ,,
HMRA2,  Verified ,,
HMRA1, Verified ,,
YCR097W-A, Dubious ,,
GIT1,  Verified ,,
YCR099C,  Uncharacterized ,,
EMA35,  Uncharacterized ,,
YCR101C,  Uncharacterized ,,
YCR102C,  Uncharacterized ,,
YCR102W-A, Dubious ,,
PAU3, Verified ,,
ADH7, Verified ,,
RDS1, Verified ,,
AAD3, Verified ,,
YCR108C,  Uncharacterized ,,
COS7, Verified ,,
YDL247W-A, Dubious ,,
MPH2, Verified ,,
SOR2,  Verified ,,
HXT15,  Verified ,,
THI13, Verified ,,
AAD4,  Verified ,,
YDL242W, Uncharacterized ,,
YDL241W, Uncharacterized ,,
YDL240C-A,  Dubious ,,
LRG1, Verified ,,
ADY3,  Verified ,,
GUD1,  Verified ,,
AIM6, Verified ,,
PHO13, Verified ,,
YPD1,  Verified ,,
GYP7,  Verified ,,
MFG1, Uncharacterized ,,
OST4, Verified ,,
BRE4,  Verified ,,
PTP1, Verified ,,
SSB1, Verified ,,
YDL228C,  Dubious ,,
HO,  Verified ,,
GCS1,  Verified ,,
SHS1, Verified ,,
WHI4,  Verified ,,
HBT1,  Verified ,,
FMP45,  Verified ,,
YDL221W, Dubious ,,
CDC13,  Verified ,,
DTD1, Verified ,,
YDL218W, Uncharacterized ,,
TIM22,  Verified ,,
RRI1,  Verified ,,
GDH2,  Verified ,,
PRR2,  Verified ,,
NOP6,  Verified ,,
SHR3, Verified ,,
YDL211C,  Uncharacterized ,,
UGA4, Verified ,,
CWC2,  Verified ,,
NHP2, Verified ,,
GLE1, Verified ,,
YCX1, Verified ,,
HEM3,  Verified ,,
YDL204W-A, Verified ,,
RTN2, Verified ,,
ACK1,  Verified ,,
MRPL11, Verified ,,
TRM8, Verified ,,
MGT1,  Verified ,,
YDL199C,  Uncharacterized ,,
