gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
15S_RRNA,0,0,3,2,3,2
COX1,2,2,0,2,0,0
AI1,0,0,3,4,1,1
AI2,0,0,0,1,0,0
AI3,0,0,0,0,0,0
AI4,0,0,1,0,0,0
AI5_ALPHA,0,0,0,0,0,0
AI5_BETA,0,0,0,0,0,0
ATP8,0,0,0,0,0,0
ATP6,0,0,0,0,5,1
COB,2,2,0,0,0,0
BI2,0,0,0,0,0,0
BI3,0,0,0,0,0,0
BI4,0,0,0,0,0,0
OLI1,0,0,0,0,0,0
VAR1,0,0,0,0,0,0
21S_RRNA,3,3,9,23,5,5
SCEI,0,0,0,0,0,1
COX2,2,2,0,2,0,0
Q0255,0,0,0,0,0,0
COX3,0,0,0,0,0,0
RPM1,0,0,0,0,0,0
TFC3,704,704,704,944,1060,1206
VPS8,428,428,501,504,497,563
EFB1,19717,19717,19890,19198,20060,22606
SSA1,5705.09,5705.09,6039.45,8490.26,9223.66,11045.82
ERP2,1295,1295,1425,1349,1312,1442
FUN14,513,513,487,514,543,581
SPO7,555,555,568,623,594,609
MDM10,427,427,422,378,440,437
SWC3,520,520,429,510,483,603
CYS3,3634,3634,3486,4123,4215,4924
DEP1,1119,1119,1058,1458,1239,1460
SYN8,810,810,835,872,891,928
NTG1,474,474,456,456,435,509
TPD3,2570,2570,2490,2511,2544,2881
PSK1,641,641,658,600,606,845
LDS1,2,2,4,6,8,5
FUN30,1371,1371,1359,1457,1478,1646
ATS1,860,860,862,1133,888,1026
CCR4,1851,1851,1861,1895,1881,2089
FUN26,1192,1192,1159,1157,1067,1231
PMT2,4821,4821,4740,4730,4624,5289
LTE1,333,333,314,276,324,385
MAK16,2897,2897,2722,2620,2872,2761
DRS2,1056,1056,1035.89,977.11,1062.09,1217
SAW1,285,285,264,215,223,262
FRT2,172,172,165,172,183,206
MYO4,1630,1630,1714,1546,1625,2000
SNC1,420,420,397,370,368,394
GIP4,494,494,527,502,475,585
PRP45,458,458,413,458,401,519
POP5,370,370,378,351,311,352
FUN19,264,264,252,234,233,254
MTW1,185,185,169,169,149,180
FUN12,7236,7236,7183,7170,7115,8070
RBG1,2531,2531,2408,2466,2392,2580
YAL037C-A,0,0,0,0,0,0
YAL037W,69,69,72,53,62,74
CDC19,80263,80263,84834,82445,83930,96682
CYC3,1349,1349,1245,1892,1542,1710
CLN3,924,924,1000,953,1115,1283
CDC24,1102,1102,1121,1045,1071,1251
ERV46,5627,5627,5592,5676,5132,6144
PTA1,1177,1177,1090,1150,1139,1287
GCV3,2346,2346,2175,1856,2006,1990
BOL1,338,338,302,271,296,303
BOL3,263,263,235,226,269,295
SPC72,402,402,331,342,292,410
GEM1,269,269,320,317,312,348
AIM2,626,626,579,677,551,660
OAF1,768,768,692,727,708,927
FLC2,3456,3456,3296,2990,3577,4034
ACS1,233,233,270,289,285,334
PEX22,319,319,290,307,283,285
GPB2,1294,1294,1268,1197,1142,1388
CNE1,704,704,656,635,572,613
ECM1,1320,1320,1240,1101,1187,1300
BDH1,1260,1260,1129,1144,1255,1469
BDH2,443,443,375,487,372,491
GDH3,366,366,337,491,421,471
FLO9,372.55,372.55,383.54,329.25,313.21,404.88
YAL063C-A,5,5,1,0,3,9
TDA8,14,14,10,10,8,11
YAL064W,1,1,0,0,0,0
YAL064W-B,8,8,8,9,5,9
YAL065C,6,6,9,12.72,9.79,4
SEO1,49,49,46,112,122,139
YAL067W-A,1,1,0,0,0,0
PAU8,1,1,0,0,0,0
ERP1,2058,2058,2366,2226,2319,2642
NUP60,1585,1585,1613,1577,1485,1820
SWD1,600,600,532,522,668,695
RFA1,1130,1130,1211,1194,1218,1485
SEN34,503,503,431,408,403,446
YAR009C,4685.63,4685.63,4248.28,4077.46,4568.37,5405.28
YAR010C,0,0,0,0,0,0
BUD14,1801,1801,1780,1760,1836,1933
ADE1,7467,7467,7297,6347,7059,7605
KIN3,495,495,501,418,562,602
CDC15,376,376,370,321,399,430
PAU7,0,0,0,0,0,0
DFP1,95,95,75,87,98,77
UIP3,944,944,1013,821,934,975
KTD1,412,412,402,348,393,392
DFP2,5,5,0,2,2,0
PRM9,261.72,261.72,251.27,246.85,277.83,281.27
MST28,226.32,226.32,236.24,232.14,192.43,210.16
YAR035C-A,0,0,0,0,0,0
YAT1,107,107,99,109,86,99
SWH1,987,987,1060,1215,1249,1429
FLO1,205.88,205.88,177.84,11.03,11.72,21.61
YAR061W,130.45,130.45,72.65,13,12,10
YAR064W,6,6,3,0,0,0
YAR066W,33.14,33.14,27.83,0,0,0
YAR068W,190,190,182,101,126,168
PHO11,586.94,586.94,448.69,0,0.51,0
ECM15,641,641,567,911,853,863
HTB2,9359,9359,8323,9316,7520,8295
HTA2,6101,6101,5907,5904.01,4963,5533
UTP20,1003,1003,837,947,1063,1191
PDR3,968,968,825,925,909,1185
YBL005W-A,0,0,0,0,0,0
YBL005W-B,2609.44,2609.44,2948.82,2874.77,3094.15,3586.15
LDB7,1234,1234,1220,1467,1219,1362
SLA1,2731,2731,2794,2656,2730,3227
HIR1,582,582,481,478,496,578
YBL008W-A,0,0,0,0,2,0
ALK2,752,752,761,702,728,880
LAA2,308,308,300,275,248,310
SCT1,1454,1454,1387,1583,1507,1728
FMT1,87,87,55,79,50,84
RRN6,1068,1068,957,935,929,1145
ACH1,384,384,404,373,471,499
FUS3,1331,1331,1294,1113,1111,1158
PEP1,2388,2388,2301,2061,1995,2410
POP8,599,599,508,538,481,514
APN2,339,339,334,282,284,366
RFT1,1096,1096,1079,1088,1003,1166
HAP3,194,194,169,194,218,240
PIM1,1929,1929,1977,2086,1942,2533
MCM2,913,913,860,785,812,965
NCL1,3236,3236,3268,3038,2915,3424
RRN10,205,205,190,219,225,190
LSM2,320,320,259,283,299,268
RPL19B,26168.41,26168.41,26324.54,23387.63,23224.73,24488.14
YBL028C,690,690,621,602,699,664
YBL029C-A,128,128,121,101,140,128
YBL029W,377,377,354,336,368,412
PET9,1987,1987,1897,1985,2215,2410
SHE1,287,287,280,231,199,251
HEK2,1658,1658,1636,1609,1548,1803
RIB1,1031,1031,1073,1241,1091,1291
STU1,330,330,321,296,327,417
POL12,587,587,525,519,477,550
YBL036C,1138,1138,1127,957,1016,1089
APL3,535,535,525,533,548,653
MRPL16,650,650,615,544,527,663
URA7,6217,6217,6187,5589,5678,6302
MIN6,1,1,1,0,4,0
ERD2,1234,1234,1154,999,1086,1214
PRE7,4111,4111,3713,4489,4389,4591
FUI1,2946,2946,2751,2366,2910,2909
ECM13,26,26,19,18,25,30
YBL044W,5,5,5,4,3,1
COR1,1404,1404,1560,1275,1502,1610
PSY4,887,887,897,857,858,902
EDE1,2166,2166,2264,2044,2167,2606
