gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
15S_RRNA,0,5,3,2,3,2
COX1,2,0,1,2,0,0
AI1,0,3,3,4,1,1
AI2,0,2,0,2,0,0
AI3,0,0,0,0,0,0
AI4,0,0,0,0,0,0
AI5_ALPHA,0,0,0,0,0,0
AI5_BETA,0,0,0,0,0,0
ATP8,0,0,0,0,0,0
ATP6,0,1,0,0,5,1
COB,2,1,0,0,0,0
BI2,0,0,0,0,0,0
BI3,0,0,0,0,0,0
BI4,0,0,0,0,0,0
OLI1,0,0,0,0,0,0
VAR1,0,0,0,0,0,0
21S_RRNA,3,6,11,23,5,5
SCEI,0,1,0,0,0,1
COX2,2,0,0,0,0,0
Q0255,0,0,0,0,0,0
COX3,0,0,0,0,0,0
RPM1,0,0,0,0,0,0
TFC3,712,607,728,983,1108,1274
VPS8,443,440,514,524,526,596
EFB1,20354,20090,20715,19880,20832,23577
SSA1,6065.6,5583.98,6390.17,8958.26,9703,11512.95
ERP2,999,980,1021,989,1003,1076
FUN14,456,439,430,467,501,541
SPO7,575,513,597,634,619,630
MDM10,425,399,422,361,434,439
SWC3,544,479,444,540,497,609
CYS3,3270,3517,3191,3743,3861,4514
DEP1,1190,1315,1140,1534,1355,1544
SYN8,816,799,834,912,915,943
NTG1,486,394,473,476,455,522
TPD3,2639,2419,2542,2552,2601,2963
PSK1,680,632,697,641,655,894
LDS1,3,0,4,7,8,4
FUN30,1426,1389,1409,1507,1538,1686
ATS1,889,916,889,1189,922,1089
CCR4,1874,1827,1908,1907,1879,2135
FUN26,1219,1073,1215,1200,1144,1301
PMT2,5073,4959,5028,5004,4880,5599
LTE1,334,313,332,290,333,409
MAK16,3002,2697,2875,2744,3051,2891
DRS2,1094.89,1026.99,1085.88,1039.58,1099.35,1272.22
SAW1,250,161,229,179,194,205
FRT2,175,168,160,182,185,220
MYO4,1689,1554,1768,1617,1697,2078
SNC1,342,278,295,288,288,328
GIP4,498,458,564,507,488,583
PRP45,459,374,424,466,407,544
POP5,390,343,406,374,321,371
FUN19,280,243,263,247,240,265
MTW1,180,146,158,157,152,182
FUN12,7509,6778,7427,7412,7432,8451
RBG1,2467,2099,2347,2399,2347,2522
YAL037C-A,0,0,0,0,0,0
YAL037W,69,43,70,53,59,78
CDC19,85101,88173,90728,87645,89323,103174
CYC3,1210,1190,1128,1756,1420,1604
CLN3,960,930,1058,1003,1155,1325
CDC24,1150,1101,1180,1076,1123,1318
ERV46,5748,5407,5835,5891,5297,6372
PTA1,1230,1174,1137,1214,1193,1368
GCV3,2331,1805,2164,1851,2021,1991
BOL1,251,224,233,224,246,235
BOL3,229,220,223,202,264,275
SPC72,398,346,341,354,303,422
GEM1,287,295,331,342,341,372
AIM2,565,506,518,623,516,601
OAF1,802,713,741,758,737,951
FLC2,3581,3038,3466,3134,3687,4216
ACS1,241,259,282,304,301,348
PEX22,316,258,298,317,302,296
GPB2,1357,1142,1350,1248,1190,1437
CNE1,698,597,676,652,581,634
ECM1,1317,1158,1257,1116,1193,1319
BDH1,1267,1004,1155,1196,1306,1496
BDH2,446,318,403,493,378,505
GDH3,391,345,354,526,439,510
FLO9,392.2,352.55,394.75,343.13,311.01,411.98
YAL063C-A,5,2,1,0,3,8
TDA8,13,10,5,10,10,13
YAL064W,0,0,0,0,0,0
YAL064W-B,5,8,5,6,3,7
YAL065C,7,12,8,6.87,5,1
SEO1,49,33,48,118,129,141
YAL067W-A,0,0,0,0,0,0
PAU8,1,0,0,0,0,0
ERP1,2025,2046,2293,2182,2289,2565
NUP60,1492,1383,1500,1515,1436,1712
SWD1,604,527,543,520,660,694
RFA1,1166,1037,1243,1239,1283,1542
SEN34,472,386,421,387,396,425
YAR009C,4414.41,3284.37,4019.05,3887.6,4166.22,5309.65
YAR010C,0,0,0,0,0,0
BUD14,1868,1589,1869,1856,1905,2006
ADE1,7336,6754,7213,6313,7083,7587
KIN3,487,443,505,425,567,616
CDC15,376,324,372,336,407,444
PAU7,1,0,0,0,0,0
DFP1,89,61,70,79,93,80
UIP3,796,673,837,710,808,813
KTD1,392,355,369,326,368,384
DFP2,3,0,0,0,2,4
PRM9,272.94,224.96,250.23,242.96,280.48,277.5
MST28,218.58,190.07,226.86,210.07,179.22,202.43
YAR035C-A,0,0,0,0,0,0
YAT1,108,109,101,123,96,108
SWH1,1042,1123,1133,1290,1316,1515
FLO1,207.8,181.83,183.78,13,15,26
YAR061W,118.23,71.32,64.58,8,9,7
YAR064W,4,4,3,0,0,0
YAR066W,33.21,24.74,31.9,0,0,0
YAR068W,177,162,174,90,117,149
PHO11,559.88,469.38,447.69,0,0.5,0
ECM15,409,314,344,619,604,581
HTB2,9557,9306,8586,9657,7755,8530
HTA2,5683,5634,5395,5600.95,4723,5146
UTP20,1044,1002,862,997,1120,1258
PDR3,1008,750,874,955,928,1241
YBL005W-A,0,0,0,0,0,0
YBL005W-B,2728.04,2272.41,2990.57,2894.48,3157.41,3791.7
LDB7,1274,1235,1277,1545,1279,1385
SLA1,2799,2717,2893,2717,2816,3381
HIR1,610,570,498,507,520,619
YBL008W-A,0,0,0,0,0,0
ALK2,791,697,771,725,752,913
LAA2,312,236,323,281,257,322
SCT1,1533,1434,1462,1661,1592,1828
FMT1,91,61,54,82,54,79
RRN6,1099,938,1015,985,975,1222
ACH1,386,437,425,389,503,522
FUS3,1353,1305,1341,1151,1129,1204
PEP1,2531,2171,2434,2183,2125,2560
POP8,579,495,475,543,473,514
APN2,357,270,341,285,303,381
RFT1,1108,1045,1071,1089,998,1133
HAP3,176,153,153,189,209,220
PIM1,2035,1886,2113,2200,2056,2688
MCM2,950,805,892,815,839,1004
NCL1,3375,3084,3445,3182,3066,3576
RRN10,201,167,183,212,227,175
LSM2,204,173,147,180,199,171
RPL19B,26491.31,23540,26695.09,23859.58,23930,25155.01
YBL028C,514,508,409,448,548,515
YBL029C-A,40,42,32,21,39,32
YBL029W,381,329,364,344,386,423
PET9,1985,2064,1933,1997,2231,2455
SHE1,308,270,281,241,213,271
HEK2,1540,1474,1509,1516,1425,1685
RIB1,1077,991,1124,1315,1178,1364
STU1,341,288,328,314,345,424
POL12,573,516,507,501,477,547
YBL036C,1165,903,1151,981,1040,1135
APL3,551,495,543,554,575,683
MRPL16,499,396,432,399,417,499
URA7,6101,5610,6121,5559,5666,6282
MIN6,0,0,0,0,0,0
ERD2,1160,929,1133,949,1056,1157
PRE7,4049,3377,3640,4379,4335,4592
FUI1,2996,2619,2803,2414,2970,2960
ECM13,25,27,19,19,28,29
YBL044W,3,1,5,3,3,0
COR1,1420,1426,1591,1288,1513,1649
PSY4,909,816,925,889,901,942
EDE1,2304,2099,2432,2170,2331,2760
RRT1,8,7,5,7,12,12
MOH1,51,38,44,48,49,33
SEC17,1291,1111,1225,1201,1135,1456
PIN4,1235,1253,1278,1223,1276,1620
SAS3,765,655,795,675,724,844
TOD6,1523,1423,1360,1399,1512,1694
YBL055C,1310,1077,1230,1121,1151,1246
PTC3,2311,1937,2243,2155,2117,2469
PTH2,835,765,860,710,785,808
SHP1,3015,2642,2991,3216,3043,3413
CMC2,160,126,128,134,164,145
IAI11,219,165,176,206,182,208
YEL1,728,676,734,735,729,750
SKT5,1879,1649,1747,1891,1875,2146
KIP1,453,348,386,355,373,458
PRX1,692,531,630,786,937,914
SEF1,349,376,378,420,455,508
UBP13,1208,1097,1157,1175,1157,1305
PRS4,1242,1176,1137,1269,1227,1314
AST1,738,707,748,786,667,832
YBL071C,98,88,58,78,70,77
YBL071C-B,0,0,0,0,0,0
KTI11,76,58,47,50,66,68
RPS8A,27872.54,24918.47,28863.97,22995.3,24398.36,26641.43
AAR2,158,139,210,183,190,183
SSA3,411,324,435,672,843,975
ILS1,8623,7859,8773,7950,7900,9620
ATG8,133,82,137,187,170,202
NUP170,1112,1090,1113,1049,1110,1358
PET112,282,284,311,255,284,395
YBL081W,916,902,876,846,892,1005
ALG3,1184,1119,1124,1309,1165,1311
CDC27,547,467,542,471,492,543
BOI1,1531,1409,1586,1510,1467,1737
YBL086C,484,421,483,507,500,617
RPL23A,11486.43,10435,12074,10098,9790.52,10832.98
TEL1,521,483,511,462,523,623
AVT5,643,488,563,530,536,589
MRP21,494,392,402,411,474,504
MAP2,3915,3683,3785,4067,3741,4155
SCS22,228,286,299,265,255,302
RPL32,33739,28411,33873,26978,28680,31115
ROX3,1346,1072,1106,1325,1316,1308
MRX3,250,240,283,271,252,255
BRN1,228,168,237,201,196,198
BNA4,445,370,419,330,336,360
ATP1,3354,3287,3727,3292,3590,3856
YBL100W-A,0,0,0,0,0,0
YBL100W-B,393.19,333.06,418.86,397.35,378.98,467.9
YBL100W-C,0,0,0,0,0,0
ECM21,551,546,601,559,559,782
SFT2,761,742,740,839,847,859
RTG3,770,693,774,698,721,797
SEA4,856,655,873,765,806,914
PKC1,1878,1677,1756,1871,1813,2112
SRO77,413,342,378,357,336,420
MIX23,677,556,658,794,771,791
PAU9,0,0,0,0,0,0
