"","ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SEO1","SEO1",84.6559000980917,1.48809272764871,0.219261314478254,6.78684578348772,1.14611604183676e-11,7.82874832834005e-10
"FLO1","FLO1",107.201082062964,-3.50874897315279,0.255965335516779,-13.7079068385133,9.1046667710876e-43,5.36902199491036e-40
"YAR061W","YAR061W",47.2588922070189,-3.48650077840682,0.394374521362715,-8.8405832262176,9.52202273579946e-19,1.05945977496244e-16
"YAR066W","YAR066W",15.4044888760937,-7.43623514754988,1.24640664873589,-5.96613886414335,2.42933557101536e-09,1.23602755724383e-07
"PHO11","PHO11",253.698355504666,-11.476612430229,1.18397682562764,-9.69327454880298,3.22034700908616e-22,4.63180153965393e-20
"YBL112C","YBL112C",19.7068385422586,-7.7880507798568,1.23335249526436,-6.31453766036895,2.70970333009742e-10,1.5820911423351e-08
"YBL113C","YBL113C",338.319603959394,-10.0354056385124,1.02487861142049,-9.79179926938196,1.22103411695116e-22,2.00012171879472e-20
"HSP26","HSP26",176.216144602404,1.43382743801753,0.157158206988676,9.12346523602707,7.27598472077617e-20,9.12903870179087e-18
"COS2","COS2",554.389682331155,-10.7489900181092,1.02400411606333,-10.4970183708172,8.91516954911549e-26,1.69589531713336e-23
"HBN1","HBN1",64.910559801993,1.62695387742757,0.260760422019368,6.23926692873172,4.39626251715198e-10,2.54164314349463e-08
"YCL074W","YCL074W",20.6459691542071,6.79463713977331,1.23571113213292,5.49856431902923,3.82895877485459e-08,1.62441510038255e-06
"YCL075W","YCL075W",4.9161489406786,5.69958917797273,1.38459823495683,4.11642094730134,3.84801229303233e-05,0.000937674731074862
"AAD3","AAD3",70.9698985718179,-9.63865434856167,1.19373376068976,-8.07437526353636,6.78229927809234e-16,6.24925294420477e-14
"YDL242W","YDL242W",11.8660116034029,-7.05796187547598,1.26754018323929,-5.56823520769089,2.57332310159054e-08,1.14961260076359e-06
"AAD4","AAD4",94.5379126358154,-10.0534093223182,1.1910142948444,-8.44104841212811,3.14503843943656e-17,3.0910486128929e-15
