gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
ETS1-1,105,105,147,513,749,644
ETS1-2,105,105,147,513,749,644
ETS2-1,0,0,0.5,0.5,0,1
ETS2-2,0,0,0.5,0.5,0,1
HRA1,47.02,47.02,69.12,75.86,62.92,80.96
ICR1,270.71,270.71,316,283.95,271,324.83
IRT1,243,243,217,231,214,254
ITS1-1,6.5,6.5,6.5,46.5,69.5,65
ITS1-2,6.5,6.5,6.5,46.5,69.5,65
ITS2-1,4,4,5,11,17.5,11.5
ITS2-2,4,4,5,11,17.5,11.5
LSR1,99,99,115,159,157,131
NME1,18,18,29,63,73,65
PWR1,0,0,0,0,0,0
Q0010,0,0,0,0,0,0
Q0017,0,0,0,0,0,0
Q0020_15S_RRNA,0,0,3,2,3,2
Q0032,0,0,0,0,0,0
Q0045_COX1,2,2,0,2,0,0
Q0050_AI1,0,0,3,4,1,1
Q0055_AI2,0,0,0,1,0,0
Q0060_AI3,0,0,0,0,0,0
Q0065_AI4,0,0,1,0,0,0
Q0070_AI5_ALPHA,0,0,0,0,0,0
Q0075_AI5_BETA,0,0,0,0,0,0
Q0080_ATP8,0,0,0,0,0,0
Q0085_ATP6,0,0,0,0,5,1
Q0092,0,0,0,0,0,0
Q0105_COB,2,2,0,0,0,0
Q0110_BI2,0,0,0,0,0,0
Q0115_BI3,0,0,0,0,0,0
Q0120_BI4,0,0,0,0,0,0
Q0130_OLI1,0,0,0,0,0,0
Q0140_VAR1,0,0,0,0,0,0
Q0142,0,0,0,0,0,0
Q0143,0,0,0,0,0,0
Q0144,0,0,0,0,0,0
Q0158_21S_RRNA,3,3,9,23,5,5
Q0160_SCEI,0,0,0,0,0,1
Q0182,0,0,0,0,0,0
Q0250_COX2,2,2,0,2,0,0
Q0255,0,0,0,0,0,0
Q0275_COX3,0,0,0,0,0,0
Q0285_RPM1,0,0,0,0,0,0
Q0297,0,0,0,0,0,0
RDN18-1,8717.38,8717.38,8615.97,5667.46,5433.99,5094.06
RDN18-2,8717.38,8717.38,8615.97,5667.46,5433.99,5094.06
RDN25-1,17311.45,17311.45,18088.4,17652.28,17289.62,17805.7
RDN25-2,17311.45,17311.45,18088.4,17652.28,17289.62,17805.7
RDN37-1,98,98,128.63,1262.8,1427.91,1534.84
RDN37-2,98,98,128.63,1262.8,1427.91,1534.84
RDN5-1,0,0,0,0,0,0
RDN5-2,0,0,0,0,0,0
RDN5-3,0,0,0,0,0,0
RDN5-4,0,0,0,0,0,0
RDN5-5,0,0,0,0,0,0
RDN5-6,0,0,0,0,0,0
RDN58-1,0,0,0,0,0,0
RDN58-2,0,0,0,0,0,0
RME2,1397.93,1397.93,1414,1400.37,1318.68,1552.13
RME3,125.84,125.84,97.03,85.6,73.03,75.26
RNA170,0,0,0,0,0,1
RPR1,57,57,32,64,61,71
RUF20,110,110,116,103,115,130
RUF21,2,2,1,3,2,0
RUF22,0,0,0,1,0,0
RUF23,5,5,1,1,2,1
RUF5-1,10204.38,10204.38,9546.59,4985.02,5791.94,5727.47
RUF5-2,10204.38,10204.38,9546.59,4985.02,5791.94,5727.47
SCR1,130,130,145,409,351,353
SRG1,611,611,645,730,672,812
YAL001C_TFC3,704,704,704,944,1060,1206
YAL002W_VPS8,428,428,501,504,497,563
YAL003W_EFB1,19717,19717,19890,19198,20060,22606
YAL004W,0,0,0,0,0,0
YAL005C_SSA1,5705.17,5705.17,6039.51,8490.39,9223.75,11046
YAL007C_ERP2,1295,1295,1425,1349,1312,1442
YAL008W_FUN14,513,513,487,514,543,581
YAL009W_SPO7,555,555,568,623,594,609
YAL010C_MDM10,427,427,422,378,440,437
YAL011W_SWC3,520,520,429,510,483,603
YAL012W_CYS3,3634,3634,3486,4123,4215,4924
YAL013W_DEP1,1119,1119,1058,1458,1239,1460
YAL014C_SYN8,810,810,835,872,891,928
YAL015C_NTG1,474,474,456,456,435,509
YAL016C-A,84.41,84.41,53.73,76.18,58.56,81.02
YAL016C-B,0,0,0,0,0,0
YAL016W_TPD3,2568.59,2568.59,2488.27,2507.82,2541.44,2877.98
YAL017W_PSK1,641,641,658,600,606,845
YAL018C_LDS1,2,2,4,6,8,5
YAL019W_FUN30,1371,1371,1359,1457,1478,1646
YAL019W-A,5.39,5.39,9.68,9.63,4.57,5.24
YAL020C_ATS1,857.61,857.61,857.32,1128.37,885.43,1023.76
YAL021C_CCR4,1851,1851,1861,1895,1881,2089
YAL022C_FUN26,1192,1192,1159,1157,1067,1231
YAL023C_PMT2,4821,4821,4740,4730,4624,5289
YAL024C_LTE1,333,333,314,276,324,385
YAL025C_MAK16,2897,2897,2722,2620,2872,2761
YAL026C_DRS2,1049,1049,1029.89,977.14,1057.1,1215.04
YAL026C-A,98.98,98.98,74.98,90,65.98,80.99
YAL027W_SAW1,285,285,264,215,223,262
YAL028W_FRT2,172,172,165,172,183,206
