gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
15S_RRNA,0,0.13,0.07,0.05,0.08,0.05
COX1,0.05,0,0.02,0.05,0,0
AI1,0,0.05,0.04,0.06,0.02,0.01
AI2,0,0.03,0,0.03,0,0
AI3,0,0,0,0,0,0
AI4,0,0,0,0,0,0
AI5_ALPHA,0,0,0,0,0,0
AI5_BETA,0,0,0,0,0,0
ATP8,0,0,0,0,0,0
ATP6,0,0.07,0,0,0.34,0.06
COB,0.07,0.04,0,0,0,0
BI2,0,0,0,0,0,0
BI3,0,0,0,0,0,0
BI4,0,0,0,0,0,0
OLI1,0,0,0,0,0,0
VAR1,0,0,0,0,0,0
21S_RRNA,0.03,0.07,0.11,0.26,0.06,0.05
SCEI,0,0.08,0,0,0,0.07
COX2,0.13,0,0,0,0,0
Q0255,0,0,0,0,0,0
COX3,0,0,0,0,0,0
RPM1,0,0,0,0,0,0
TFC3,7.06,6.77,6.92,10.41,12.16,12.48
VPS8,3.97,4.44,4.41,5.02,5.22,5.27
EFB1,1839.94,2031.52,1858.08,1913.14,2035.79,2122.99
SSA1,116.42,120.56,118,183.64,205.57,218.46
ERP2,83.88,92.1,84.83,88.43,91.22,89.94
FUN14,44.23,47.61,41.51,48.21,52.44,52.31
SPO7,35.82,35.83,36.46,42.1,42.03,38.98
MDM10,11.16,11.78,10.69,10.12,12.56,11.41
SWC3,10.77,10.67,8.46,11.42,10.86,11.92
CYS3,113.71,137.4,107.47,138.92,147.52,155.44
DEP1,39.94,49.59,37.04,54.96,49.99,51.31
SYN8,52.06,57.14,52.19,62.02,63.6,59.76
NTG1,16.63,15.15,15.67,17.38,17.11,17.68
TPD3,51.3,52.89,47.55,52.98,55.81,56.94
PSK1,5.7,5.96,5.59,5.74,6.08,7.4
LDS1,0.13,0,0.17,0.34,0.39,0.18
FUN30,14.53,15.93,13.76,16.41,17.35,16.97
ATS1,38.62,44.68,37.55,55.11,43.9,46.9
CCR4,26.6,29.18,26,28.92,29.48,29.94
FUN26,30.22,29.91,29.05,31.77,31.26,31.91
PMT2,80.38,88.41,76.53,84.69,85.43,87.67
LTE1,2.64,2.78,2.51,2.45,2.91,3.19
MAK16,146.62,147.83,136.83,142.95,163.05,140.03
DRS2,9.18,9.7,8.72,9.32,10.21,10.54
SAW1,15.39,11.12,13.82,11.75,13.02,12.54
FRT2,4.23,4.57,3.73,4.7,4.93,5.26
MYO4,12.98,13.45,13.01,13.28,14.44,15.77
SNC1,124.58,110.8,117.89,110.03,105.57,121.77
GIP4,7.88,8.15,8.57,8.57,8.53,9.12
PRP45,16.78,15.36,15.03,18.19,16.34,19.7
POP5,49.02,48.09,51.43,49.96,43.17,46.62
FUN19,9.17,8.94,8.33,8.63,8.64,8.59
MTW1,9.54,8.68,8.17,8.87,8.8,9.57
FUN12,87.32,88.72,82.83,92.1,95.62,97.09
RBG1,93.43,89.29,86.2,96.96,97.58,94.61
YAL037C-A,0,0,0,0,0,0
YAL037W,4.11,2.87,4.08,3.36,3.83,4.61
CDC19,2196.93,2559.22,2259.81,2415.93,2540.43,2635.11
CYC3,71.21,78.53,64.97,110.18,91.18,93.72
CLN3,20.75,22.61,22.02,23.15,27.54,28.32
CDC24,15.96,17.19,15.72,15.95,17.23,18.07
ERV46,187.02,197.69,183.7,204.59,189.49,205.25
PTA1,18.76,20.15,16.66,19.78,20.11,20.62
GCV3,303.73,262.28,284.76,256.28,281.43,259.51
BOL1,117.38,113.63,121.99,109.11,113.34,112.41
BOL3,80.8,85.01,86.08,74.8,93.98,98.84
SPC72,7.93,7.75,6.53,7.53,6.66,8.31
GEM1,5.32,6.15,5.9,6.77,6.97,6.81
AIM2,38.11,38.24,34.32,44.78,37.87,40.28
OAF1,8.89,8.9,7.87,8.98,9.04,10.41
FLC2,54.78,52.29,50.92,51.21,62.33,63.73
ACS1,4.1,4.96,4.61,5.52,5.66,5.85
PEX22,36.68,33.43,34.71,39.12,37.61,34.32
GPB2,18.21,17.25,17.39,17.9,17.66,19.06
CNE1,17.93,17.24,16.76,17.89,16.44,16.11
ECM1,113.27,111.45,107.07,102.2,111.06,112.95
BDH1,45.86,40.82,40.51,46.2,51.92,53.63
BDH2,14.42,11.56,12.61,17.02,13.44,16.17
GDH3,11.27,11.18,9.86,16.19,13.93,14.55
FLO9,3.38,3.42,3.26,3.16,2.97,3.5
YAL063C-A,4.68,1.96,1.08,0,2.58,7.65
TDA8,3.65,3.1,1.51,2.96,2.88,3.7
YAL064W,0,0,0,0,0,0
YAL064W-B,1.4,2.48,1.51,1.78,0.86,1.99
YAL065C,1.87,3.54,2.28,1.94,1.38,0.27
SEO1,1.03,0.78,0.97,2.65,3,2.94
YAL067W-A,0,0,0,0,0,0
PAU8,0.33,0,0,0,0,0
ERP1,164.82,186.42,184.46,189.15,201.94,207.77
NUP60,35.18,36.67,34.09,38.15,37.33,39.93
SWD1,19.01,18.64,16.53,17.47,22.85,21.62
RFA1,23.26,23.27,23.87,26.4,28.25,30.42
SEN34,26.88,24.66,23.45,23.5,24.62,24.03
YAR009C,42.34,35.47,36.94,39.85,44.24,50.3
YAR010C,0,0,0,0,0,0
BUD14,31.98,30.61,30.76,33.94,36.02,33.95
ADE1,358.29,370.2,343.28,328.87,378.54,367.49
KIN3,14.93,15.26,14.97,13.91,19.12,18.69
CDC15,4.51,4.38,4.28,4.31,5.4,5.26
PAU7,0,0,0,0,0,0
DFP1,10.44,7.99,8.25,9.86,11.71,9.38
UIP3,57.72,54.66,59.75,54.85,63.66,58.61
KTD1,28.62,29.03,26.53,25.36,29.19,27.87
DFP2,20.79,0,0,0,10.54,26.11
PRM9,13.84,12.8,12.37,13.14,15.55,13.96
MST28,15.96,15.54,16.31,16.34,14.22,14.69
YAR035C-A,0,0,0,0,0,0
YAT1,1.92,2.18,1.72,2.33,1.88,1.89
SWH1,10.07,12.21,10.49,13.32,14.08,14.46
FLO1,1.52,1.5,1.29,0.1,0.12,0.19
YAR061W,5.11,3.46,2.71,0.37,0.43,0.3
YAR064W,3.14,3.32,2.71,0,0,0
YAR066W,3.08,2.57,2.94,0,0,0
YAR068W,25.92,26.42,25.92,14,18.23,21.87
PHO11,15.71,14.81,12.13,0,0.02,0
ECM15,247.92,204.2,237.47,387.24,352.13,360.96
HTB2,2377.42,2557.23,2264.04,2537.17,1995.82,2146.71
HTA2,1381.86,1513.99,1387.73,1438.82,1189.84,1265.31
UTP20,4.61,4.99,3.64,4.71,5.49,5.49
PDR3,12.07,10.1,10.03,12.21,12.29,14.68
YBL005W-A,0,0,0,0,0,0
YBL005W-B,17.39,16.31,18.24,19.72,22.3,23.86
LDB7,147.88,160.03,148.75,190.68,159.3,160.57
SLA1,25.73,28.12,25.48,26.69,28.66,30.7
HIR1,8.62,9.07,6.76,7.66,8.13,8.65
YBL008W-A,0,0,0,0,0,0
ALK2,14.3,14.18,13.41,14,15.01,16.32
LAA2,17.31,14.68,17.51,16.62,15.57,17.73
SCT1,24.29,25.56,22.25,28.11,27.87,28.62
FMT1,3.09,2.33,1.78,2.98,2.02,2.66
RRN6,14.49,13.92,12.85,13.88,14.22,15.92
ACH1,9.37,11.93,9.95,10.09,13.46,12.54
FUS3,54.34,58.86,52.28,49.33,49.74,47.91
PEP1,18.04,17.42,16.61,16.63,16.78,18.02
POP8,137.68,130.14,119.25,136.45,116.69,123.54
APN2,8.79,7.47,8.1,7.49,8.22,9.28
RFT1,24.24,25.72,22.57,25.45,24.09,24.52
HAP3,33.64,32.45,30.31,38.27,41.97,42.32
PIM1,20.7,21.59,20.6,23.91,23.14,27
MCM2,12.95,12.35,11.67,11.87,12.64,13.52
NCL1,60.21,61.89,59.09,60.63,60.4,63.06
RRN10,37.74,34.81,35.57,42.18,44.82,33.06
LSM2,203.14,179.93,169.61,180.65,181.33,174.05
RPL19B,2799.66,2779.57,2818.28,2682.45,2721.9,2652.37
YBL028C,284.21,302.61,256.15,256.56,293.99,291.73
YBL029C-A,42.51,46.43,39.42,22.41,37.67,34.72
YBL029W,14.08,13.66,13.04,13.56,15.66,15.48
PET9,91.88,107.24,87.09,98.6,113.08,112.66
SHE1,13.11,12.91,11.63,10.95,9.94,11.44
HEK2,55.93,60.14,53.11,58.76,56.84,60.61
RIB1,44.6,46.09,45.21,58.11,53.5,55.98
STU1,2.54,2.42,2.34,2.5,2.85,3.12
POL12,9.87,10,8.4,9.22,9.08,9.32
YBL036C,73.44,63.82,71.14,65.92,71.44,71.07
APL3,6.25,6.32,5.91,6.71,7.22,7.65
MRPL16,36.94,32.83,31.5,31.47,33.53,36.73
URA7,132.13,136.65,127.68,128.58,135.36,134.55
MIN6,0,0,0,0,0,0
ERD2,94.42,84.65,91.14,82.27,93.16,93.72
PRE7,282.03,263.56,249.3,325.02,328.4,317.91
FUI1,57.81,56.85,52.04,49.76,63.26,56.47
ECM13,1.58,1.91,1.17,1.28,1.92,1.82
YBL044W,0.94,0.34,1.69,0.99,0.96,0
COR1,40.94,46.21,44.31,39.64,48.01,47.05
PSY4,27.39,27.64,26.95,28.6,29.88,28.1
EDE1,18.94,19.42,19.14,19.06,21.22,22.4
RRT1,5.09,4.77,3.63,4.59,7.31,7.82
MOH1,10.92,9.01,9.86,10.87,10.95,7.13
SEC17,67.39,65.07,62.4,66.86,64.77,75.4
PIN4,22.64,25.84,22.53,23.95,25.83,29.36
SAS3,10.95,10.55,10.92,10.32,11.45,11.93
TOD6,37.07,38.94,31.91,36.36,40.56,40.78
YBL055C,42.23,39.02,38.37,38.58,40.8,39.77
PTC3,64.69,60.95,60.63,64.4,65.24,68.39
PTH2,74.22,76.07,75.8,67.19,75.46,71.53
SHP1,95.75,94.29,91.88,109.02,106.28,107.3
CMC2,77.88,66.42,69.96,67.85,78.36,72.22
IAI11,22.26,18.74,17.84,22.28,19.93,21.08
YEL1,12.92,13.5,12.53,13.94,14.29,13.16
SKT5,32.86,32.44,29.37,35.32,36.21,37.09
KIP1,4.71,4.07,3.84,3.94,4.29,4.7
PRX1,42.61,36.66,38.01,51.6,62.9,55.89
SEF1,3.5,4.24,3.63,4.5,5.05,5.03
UBP13,19.49,19.91,17.93,20.25,20.62,20.81
PRS4,55.55,59.05,49.47,60.55,60.13,58.26
AST1,23.02,24.79,22.57,26.18,22.89,25.69
YBL071C,65.52,62.82,44.38,53.6,44.58,52.77
YBL071C-B,0,0,0,0,0,0
KTI11,214.48,159.06,148.54,132.69,153.18,189.65
RPS8A,2655.14,2654.33,2734.14,2331.46,2509.03,2529.28
AAR2,6.3,6.22,8.13,7.78,8.31,7.23
SSA3,7.79,6.91,7.93,13.6,17.64,18.27
ILS1,93.14,95.56,90.85,91.76,94.43,102.64
ATG8,48.45,32.68,54.75,71.44,62.32,75
NUP170,8.36,9.22,8.01,8.43,9.24,10.08
PET112,6.62,7.5,7.04,6.39,7.35,9.17
YBL081W,34.81,38.51,32.29,34.31,37.22,37.84
ALG3,34.04,36.16,31.22,40.18,36.87,37.3
CDC27,8.68,8.34,8.26,7.98,8.63,8.52
BOI1,18.24,18.9,18.13,19.23,19.34,20.45
YBL086C,13.62,13.32,13.13,15.23,15.49,17.18
RPL23A,2509.24,2524.32,2764.33,2333.67,2230.4,2387.92
TEL1,2.05,2.14,1.92,1.94,2.28,2.42
AVT5,18.44,15.73,15.59,16.22,16.92,16.71
MRP21,59.28,52.5,48.5,52.43,60.97,60.44
